"text";"created";"screenName"
"Início de 2010, Dorival pede o boné e fala que com Roberto Brum, Rodrigo Mancha, Paulo Henrique não tem condições d… https://t.co/DDJKILYCW3";2019-12-17 23:53:41;"cassioaf07"
"O jornalista que fala que o brasileiro não respeita o futebol de clubes de outros continentes, é o mesmo que não re… https://t.co/E19YpXKFSI";2019-12-17 23:53:37;"babu_samba"
"@certohenrique @JornalOGlobo E se vc não notou, eu fiz um elogio a vcs homens, pq acho vcs muito bem humorados e es… https://t.co/J01PreJMd5";2019-12-17 23:53:30;"rosely200382"
"@CaioEB2903 Que futebol rapaz, vem pra Bela Vista jogar um carteado";2019-12-17 23:53:23;"VoltoliniH"
"Terraplanistas do futebol kkkkkkkk, não tem adjetivo melhor. Só tem doente mental. Os caras preferem fingirem burri… https://t.co/kKqPt1iDbi";2019-12-17 23:53:21;"briankovic"
"cachorriei o guri e ele me mandou uma bem assim \"Tu é guria não entende nada de futebol\" kkkkkkkkkkk sem argumentos negoh?";2019-12-17 23:53:13;"MelloLauryn"
"@ribasdiego10 Sempre defendi vc por que simplesmente você é o cara por tudo que passou e estar fazendo agora histór… https://t.co/cD528Q8cbl";2019-12-17 23:53:10;"Julopesmqt"
"@Lagofilosofico @Esp_Interativo Nosso time de 2006 não tinha jogadores famosinhos igual o de vcs, mas tínhamos raça… https://t.co/WTs4AglXWL";2019-12-17 23:53:08;"NtcMarco"
"@3AndyandArt Ctz q tu é clubista, eu sou clubista pra kct, mae tb é, mas a gente pensa, negada tao achando q invent… https://t.co/iapfAH1uYW";2019-12-17 23:52:49;"kikiie"
"@FoxSportsBrasil Por isso nosso futebol está essa bela bosta... olha o que os caras inventam kkkkkk";2019-12-17 23:52:44;"offwendell"
"Olha só... Admitiu os erros...
https://t.co/2EaMzjl3pC";2019-12-17 23:52:40;"tforatto"
"tô aqui fumando um narga e ouvindo um som sozinha pq me abandonaram p ir p futebol <U+0001F644>";2019-12-17 23:52:32;"_JuliePierri"
"@Cris21461952 @SenninCrf @futebol_info vamo com calma nas drogas";2019-12-17 23:52:26;"Charles1998Jair"
"Sorteio da Libertadores e da Copa Sul-Americana pode ser acompanhado ao vivo no https://t.co/B2auAf0oXJ - Final úni… https://t.co/YtI3kPgcK4";2019-12-17 23:52:20;"Fredfrm"
"É simples, como você mesmo diz, ele (presidente) não tem ambição e muito menos preparo técnico (conhecimento de fut… https://t.co/Y3inI8MMdp";2019-12-17 23:51:57;"rodrigolana4"
"@galvaobueno @futebol_info Você é foda, Galvão!";2019-12-17 23:51:52;"87Rubronegro87"
"@erickplopes @futebol_info Seria tbm legal um modelo tipo Copa do Mundo tds classificados diretamente";2019-12-17 23:51:47;"E_Francisco95"
"O futebol deu ao Cuellar uma lição que se aplica a todas as áreas da vida: nem tudo na vida é dinheiro <U+0001F937><U+0001F3FB><U+200D><U+2642><U+FE0F>";2019-12-17 23:51:43;"_gabrielsgomes"
